Номенклатура	Название номенклатуры	Код группы	Оригинальный код	Склад	Код палеты	В наличии	Зарезервировано	Доступно
00001517H1	ШПЛИНТ	PG.PGCT	1517H1	2		3,00	1,00	2,00
00005416J2	КОЛПАК КОЛЕСНЫЙ	PG.CT	5416J2	2		1,00	1,00	0,00
00006351GH	ФОНАРЬ ПРОТИВОТУМАН.	PG.PG	6351GH	2		1,00	1,00	0,00
00006351LL	ФОНАРЬ ЗАДНИЙ	PG.PG	6351LL	2		1,00	1,00	0,00
00006562CX	ФИКСАТОР ВСТАВКИ	PG.PGCT	6562CX	2		4,00	0,00	4,00
00006823AJ	ФИКСАТОР	PG.PGCT	6823AJ	2		2,00	0,00	2,00
00006925W6	БОЛТ	PG.PGCT	6925W6	2		2,00	0,00	2,00
00006999KP	ФИКСАТОРЫ ДВЕРЕЙ	PG.PG	6999KP	2		1,00	0,00	1,00
0000703025	ФИКСАТОР КРЕПЛЕНИЯ	PG.PGCT	703025	2		5,00	5,00	0,00
00007410AR	БАМПЕР ЗАДНИЙ	PG.CT	7410AR	2		1,00	0,00	1,00
00007410JP	БАМПЕР ЗАДНИЙ	PG.PG	7410JP	Бр		1,00	0,00	1,00
00007410PE	БАМПЕР ЗАДНИЙ	PG.PG	7410PE	2		1,00	1,00	0,00
00007410PF	спойлер заднего бампера	PG.PG	7410PF	2		1,00	1,00	0,00
00007410W9	БАМПЕР ЗАДНИЙ	PG.CT	7410W9	2		1,00	1,00	0,00
00007410X1	СПОЙЛЕР ЗАДНЕГО БАМПЕРА	PG.CT	7410X1	2		1,00	1,00	0,00
0000741682	СУППОРТ БАМПЕРА	PG.CT	741682	2		1,00	1,00	0,00
00007416Z6	СПОЙЛЕР ПЕРЕДНЕГО БАМПЕРА	PG.PG	7416Z6	2		1,00	0,00	1,00
0000742160	ОПОРА	PG.PG	742160	2		1,00	1,00	0,00
00007422W0	АБСОРБЕР БАМПЕРА	PG.PG	7422W0	2		1,00	1,00	0,00
00007452WG	НАКЛАДКА ЗАДН.БАМПЕРА	PG.CT	7452WG	2		1,00	0,00	1,00
00007453F3	МОЛДИНГ БАМПЕРА	PG.PG	7453F3	2		2,00	0,00	2,00
00007810AK	ЭМБЛЕМА	PG.PG	7810AK	2		1,00	1,00	0,00
00007810P8	ШЕВРОНЫ	PG.CT	7810P8	2		1,00	1,00	0,00
0000811025	КЛИП	PG.PGCT	811025	2		8,00	8,00	0,00
00008120CY	КЛИП	PG.PG	8120CY	2		1,00	1,00	0,00
00008120Y6	МОЛДИНГ ВЕТР. СТЕКЛА	PG.PG	8120Y6	2		1,00	0,00	1,00
00008525CL	КРЫЛО ЗАДНЕЕ	PG.CT	8525CL	2		1,00	1,00	0,00
00008529PW	ПОДКРЫЛОК	PG.CT	8529PW	2		1,00	1,00	0,00
00008530SE	ПОДКРЫЛОК	PG.CT	8530SE	2		1,00	0,00	1,00
00008545H1	МОЛДИНГ ДВЕРИ	PG.CT	8545H1	2		1,00	1,00	0,00
00008665EP	МОНОГРАММА	PG.CT	8665EP	2		1,00	1,00	0,00
00008665EQ	МОНОГРАММА	PG.CT	8665EQ	2		1,00	1,00	0,00
0000866671	МОНОГРАММА	PG.PG	866671	2		1,00	0,00	1,00
00008666CY	МОНОГРАММА	PG.PG	8666CY	2		1,00	1,00	0,00
00009006R9	ДВЕРЬ ЗАДНЯЯ	PG.CT	9006R9	2		1,00	0,00	1,00
0000922760	ФИКСАТОР	PG.PGCT	922760	2		2,00	0,00	2,00
00009300AP	КУЛИСА СТЕКЛА	PG.CT	9300AP	2		1,00	1,00	0,00
00009300AQ	КУЛИСА СТЕКЛА	PG.CT	9300AQ	2		1,00	0,00	1,00
00009300AR	КУЛИСА СТЕКЛА	PG.CT	9300AR	2		1,00	0,00	1,00
0000974083	МАЛЯРНЫЙ СКОТЧ В РУЛОНАХ (списывать в сантиметрах)	PG.PGCT	974083	2		1 580,00	119,80	1 460,20
00148	Колодка под 5-ти контактное реле (soket)	ДОП.ОБЩ	Колодкапод5тиконтакт	4		87,00	0,00	87,00
00167	Провод одножильный 0,75	Доп.ОС	Провод одножильный 0	2		142,00	0,00	142,00
008334	Сверло SPIBO 338 HHS RF 6.0 мм	РСХ.ТЦ.ОБ	7108-08334	2		10,00	0,00	10,00
008340	Сверло SPIBO 338 HHS RF 8.0 мм	РСХ.ТЦ.ОБ	7108-008340	2		18,00	0,00	18,00
